Data;open_x;high_x;low_x;close_x;volume_x;open_y;high_y;low_y;close_y;volume_y;;;;;
24/02/2021 12:05;5473.31;5478.85;5469.28;5471.80;1939197030.00;115575.14;115665.59;115459.57;115555.05;4245505107.47;;;;;
24/02/2021 12:10;5471.80;5473.81;5467.77;5469.28;1748907210.00;115550.02;115675.64;115484.70;115615.34;3115754713.84;;;;;
24/02/2021 12:15;5469.28;5469.78;5457.69;5466.25;3623726925.00;115610.32;115861.56;115595.24;115771.11;4850682549.11;;;;;
24/02/2021 12:20;5465.75;5467.77;5453.66;5453.66;1896844425.00;115776.14;115992.20;115680.67;115972.10;5267065579.29;;;;;
24/02/2021 12:25;5453.66;5461.22;5451.65;5458.70;2300098745.00;115967.08;116012.30;115751.01;115806.29;4283648379.81;;;;;
24/02/2021 12:30;5458.70;5463.74;5454.67;5457.19;1909348525.00;115806.29;116047.48;115685.69;115941.95;5114681347.95;;;;;
24/02/2021 12:35;5457.19;5472.30;5456.68;5466.76;2105765615.00;115946.98;116067.57;115846.48;115997.23;4087971077.99;;;;;
24/02/2021 12:40;5466.25;5470.79;5463.74;5465.75;1259215295.00;115997.23;116027.38;115821.36;115997.23;3386316694.73;;;;;
24/02/2021 12:45;5465.75;5469.78;5465.25;5466.76;727003940.00;116002.25;116012.30;115856.53;115926.88;2473296800.33;;;;;
24/02/2021 12:50;5467.26;5469.78;5466.25;5468.77;671033555.00;115921.86;116042.45;115856.53;116012.30;2449763808.96;;;;;
24/02/2021 12:55;5468.77;5469.78;5461.22;5464.74;2072806970.00;116012.30;116203.24;115992.20;116188.17;4986374854.07;;;;;
24/02/2021 13:00;5465.25;5468.77;5463.23;5464.24;1959695575.00;116188.17;116253.49;116142.95;116238.42;3055562225.73;;;;;
24/02/2021 13:05;5464.24;5467.26;5461.22;5462.22;1209542855.00;116238.42;116384.14;116213.29;116379.11;3529932086.72;;;;;
24/02/2021 13:10;5462.22;5467.26;5460.71;5466.25;700073225.00;116384.14;116509.76;116364.04;116444.43;3393682404.73;;;;;
24/02/2021 13:15;5466.25;5466.76;5455.17;5456.18;1492354630.00;116449.46;116494.68;116404.23;116439.41;1825027053.74;;;;;
24/02/2021 13:20;5455.68;5457.69;5453.66;5455.17;1174075195.00;116434.38;116534.88;116369.06;116509.76;2980582777.71;;;;;
24/02/2021 13:25;5454.67;5457.19;5448.62;5456.18;2347273020.00;116509.76;116539.90;116348.96;116369.06;3189790376.74;;;;;
24/02/2021 13:30;5456.68;5459.20;5451.14;5453.66;1388964960.00;116369.06;116514.78;116278.62;116454.48;3915439599.35;;;;;
24/02/2021 13:35;5453.66;5456.18;5451.14;5455.68;598358150.00;116454.48;116494.68;116293.69;116313.79;2725720732.98;;;;;
24/02/2021 13:40;5455.68;5463.23;5455.17;5462.73;1243585790.00;116313.79;116318.81;116137.92;116158.02;3779700042.33;;;;;
24/02/2021 13:45;5463.23;5463.23;5458.20;5459.20;993982945.00;116158.02;116233.39;116132.90;116203.24;2559956154.54;;;;;
24/02/2021 13:50;5459.71;5474.82;5453.66;5461.22;3409917775.00;116203.24;116353.99;116163.05;116253.49;4009685517.72;;;;;
24/02/2021 13:55;5461.22;5467.77;5460.21;5466.25;1038573485.00;116248.47;116338.91;116193.19;116303.74;2615527781.36;;;;;
24/02/2021 14:00;5466.25;5469.28;5463.23;5465.25;965119115.00;116303.74;116464.53;116298.71;116429.36;2976298687.64;;;;;
24/02/2021 14:05;5464.74;5466.25;5462.73;5463.74;591314165.00;116434.38;116519.81;116353.99;116514.78;2659133498.00;;;;;
24/02/2021 14:10;5463.74;5465.75;5458.20;5460.71;1075480265.00;116514.78;116605.23;116439.41;116479.61;3761420077.07;;;;;
24/02/2021 14:15;5460.21;5462.22;5455.17;5459.20;1158863895.00;116479.61;116494.68;116364.04;116424.33;3052072314.71;;;;;
24/02/2021 14:20;5459.20;5467.26;5458.70;5466.76;1034995040.00;116419.31;116645.42;116374.09;116640.40;4189363891.38;;;;;
24/02/2021 14:25;5467.26;5470.28;5462.22;5462.73;1538287870.00;116640.40;116796.17;116610.25;116766.02;3900593353.08;;;;;
24/02/2021 14:30;5462.73;5464.24;5456.68;5458.70;1127934010.00;116766.02;116791.14;116640.40;116645.42;2629893119.46;;;;;
24/02/2021 14:35;5459.20;5464.74;5458.70;5460.21;1310826865.00;116645.42;116695.67;116544.93;116565.03;3290323741.12;;;;;
24/02/2021 14:40;5460.21;5460.21;5455.68;5458.70;814801520.00;116560.00;116700.70;116444.43;116675.57;4253053004.34;;;;;
24/02/2021 14:45;5458.20;5461.72;5455.68;5460.71;1068426695.00;116675.57;116735.87;116580.10;116615.28;2715828337.74;;;;;
24/02/2021 14:50;5461.22;5461.22;5458.70;5459.71;431467270.00;116615.28;116725.82;116560.00;116600.20;2822113911.30;;;;;
